priority,epic,atomic_task,rationale,affected_paths,acceptance_criteria,adversarial_or_behavioral_test,dependencies,suggested_pr,status
P0,Canonical taxonomy,Make paper-archetype-atlas the canonical taxonomy,Conflicting five-type and richer archetype systems can route the same paper differently,skills/nature-shared/core/paper-archetype-atlas.md; skills/nature-shared/core/paper-type-taxonomy.md; skills/nature-writing/manifest.yaml,One canonical ID set; legacy types map as coarse supertypes; all routers validate against it,Hybrid resource+evaluation paper routes identically from academic-writing and pipeline,,PR1,proposed
P0,Canonical taxonomy,"Add paper-, study-, and result-level archetype fields",One paper can contain heterogeneous studies and claim types,new schemas; academic-paper-pipeline,State supports dominant/secondary paper archetype plus per-study and per-result type,Multi-study paper with RCT and qualitative process evaluation,Canonical taxonomy,PR1,proposed
P0,State kernel,Create versioned project schema and stable object IDs,Chat-only state cannot be resumed or audited,skills/academic-shared/schemas/project.schema.json (new),"Schema validation, semantic version, migration hooks, stable IDs",Round-trip load/save of project with no loss,,PR1,proposed
P0,State kernel,"Create JSONL ledgers for claims, sources, analyses, figures, concerns, and deviations",Prose ledgers are not deterministic or machine-checkable,skills/academic-shared/schemas/* (new),"Every material object has ID, version, status, actor, timestamp, and links",Fixture validates complete state and rejects dangling links,Project schema,PR1,proposed
P0,Research design,Add research-contract object,"Argument spine lacks estimand, units, scope, comparator, and decision criteria",skills/research-design (new),"Question, contribution, unit, population/domain, comparator, outcome/evidence criterion, estimand, hypotheses, boundaries, decisive evidence",Association study with incompatible unit of inference is blocked,State kernel,PR2,proposed
P0,Research design,Add generic protocol schema and design adapters,No versioned plan links intended study to report,skills/research-design/protocol (new),Protocol versions are immutable; each plan item has status and downstream links,Protocol amendment creates new version and relation,Research contract,PR2,proposed
P0,Research design,Add statistical/computational analysis-plan schema,Prespecified and exploratory analyses cannot be reliably distinguished,skills/research-design/analysis-plan (new),"Each analysis has question/estimand, population, variables, model/test, uncertainty, diagnostics, multiplicity, missingness, status",Outcome-switch fixture is detected,Protocol schema,PR2,proposed
P0,Research design,Add deviation ledger and reconciliation gate,Post hoc changes can be laundered into final Methods,skills/research-design/deviations (new),"Every deviation records date, actor, reason, affected objects, consequence, and disclosure location",Changed primary outcome remains labeled deviation in Abstract/Results,Protocol and analysis plan,PR2,proposed
P0,Data governance,Replace availability-only state with data-asset schema,Availability prose is not authoritative data governance,skills/research-data (new); skills/nature-data,"Identity, owner, license, access, sensitivity, schema, unit, lineage, checksums, snapshots, defects, repository version",Availability statement generated from data asset and fails on dead/mismatched version,State kernel,PR3,proposed
P0,Data governance,Add data validation reports and transformation lineage,Silent cleaning and unit changes can alter claims,skills/research-data/validators (new),"Validation rules, failures, overrides, transformations, input/output hashes",Unit mismatch and duplicate-participant fixtures fail,Data-asset schema,PR3,proposed
P0,Analysis provenance,Create analysis object and execution receipt,Results/figures currently lack reproducible computational lineage,skills/analysis-and-inference (new),"Analysis links plan item, data snapshot, code, environment, seeds, diagnostics, exact outputs, receipt",Clean rerun reproduces expected results within declared tolerance,Data and analysis-plan schemas,PR3,proposed
P0,Provenance graph,Implement claim-source-analysis-figure graph,Independent ledgers do not prove end-to-end support,skills/academic-shared/provenance (new),No dangling support edges; edge type/status/version required; graph query finds upstream evidence and downstream surfaces,Changing data snapshot invalidates dependent results/figures/claims,State kernel; analysis object,PR3,proposed
